apt_number,apt_type,apt_ownership_type,ownerl_name,votes_per_owner,votes_per_apt,votes_by_sq_feet,ownership_start_date,gen_owner_name
1,apartment,residential,,1,1,70.5,09.11.2016,ownerName1
2,apartment,residential,,4,6,45.53,22.03.2017,ownerName2
2,apartment,residential,,1,6,11.38,22.03.2017,ownerName3
2,apartment,residential,,1,6,11.38,22.03.2017,ownerName4
3,apartment,residential,,1,1,70.1,31.05.2016,ownerName5
4,apartment,residential,,1,1,68,31.05.2017,ownerName6
5,apartment,residential,,1,1,60.3,24.05.2016,ownerName7
6,apartment,residential,,1,2,46.6,24.05.2016,ownerName8
6,apartment,residential,,1,2,46.6,24.05.2016,ownerName9
7,apartment,residential,,1,1,70.1,17.06.2016,ownerName70
8,apartment,residential,,1,4,17,23.12.2016,ownerName11
8,apartment,residential,,1,4,17,23.12.2016,ownerName12
8,apartment,residential,,2,4,34,23.12.2016,ownerName13
9,apartment,residential,,1,2,30.15,22.12.2016,ownerName14
9,apartment,residential,,1,2,30.15,22.12.2016,ownerName15
10-H,basement,comercial,,1,1,5164.8,11.07.2016,ownerName16
10,apartment,residential,,1,2,46.6,12.05.2016,ownerName17
10,apartment,residential,,1,2,46.6,12.05.2016,ownerName18
12,apartment,residential,,1,1,68,05.10.2016,ownerName19
14,apartment,residential,,1,2,46.8,29.04.2016,ownerName20
14,apartment,residential,,1,2,46.8,29.04.2016,ownerName21
15,apartment,residential,,1,1,70.6,25.05.2016,ownerName28
16,apartment,residential,,1,2,34.05,11.11.2016,ownerName23
16,apartment,residential,,1,2,34.05,11.11.2016,ownerName24
17,apartment,residential,,1,1,60.6,03.10.2016,ownerName25
18,apartment,residential,,1,3,31.17,05.05.2016,ownerName26
18,apartment,residential,,2,3,62.33,05.05.2016,ownerName27
19,apartment,residential,,1,1,70.6,25.05.2016,ownerName28
20-H,ground floor,comercial,,1,1,10.4,20.02.2017,ownerName339
20,apartment,residential,,1,1,67.7,11.11.2016,ownerName30
21,apartment,residential,,1,1,60.4,01.12.2017,ownerName31
22-H,unknown,comercial,,1,1,130.5,19.06.2018,ownerName32
22,apartment,residential,,1,3,31.07,21.06.2016,ownerName33
22,apartment,residential,,1,3,31.07,21.06.2016,ownerName34
22,apartment,residential,,1,3,31.07,21.06.2016,ownerName35
23,apartment,residential,,1,1,70.3,12.12.2016,ownerName36
23-H,unknown,comercial,,1,1,203.8,20.05.2016,ownerName339
24,apartment,residential,,1,1,68.2,12.10.2016,ownerName38
25,apartment,residential,,1,1,60.6,13.04.2017,ownerName40
26,apartment,residential,,1,1,93.1,13.04.2017,ownerName40
27-H,unknown,comercial,,1,1,344.8,06.07.2016,ownerName175
27,apartment,residential,,1,1,70.4,20.05.2016,ownerName42
28,apartment,residential,,1,1,71.2,17.10.2016,ownerName43
29,apartment,residential,,1,1,60.4,15.08.2016,ownerName44
30,apartment,residential,,1,1,93.2,04.10.2016,ownerName45
31,apartment,residential,,1,2,62.9,04.09.2017,ownerName46
31,apartment,residential,,1,2,62.9,04.09.2017,ownerName47
32,apartment,residential,,1,2,74.7,15.07.2016,ownerName48
32,apartment,residential,,1,2,74.7,15.07.2016,ownerName49
33,apartment,residential,,1,1,64.4,13.02.2017,ownerName50
34-H,unknown,comercial,,1,1,145.1,20.05.2016,ownerName339
34,apartment,residential,,1,2,22.45,17.08.2016,ownerName52
34,apartment,residential,,1,2,22.45,17.08.2016,ownerName53
35,apartment,residential,,1,2,33.75,16.05.2017,ownerName54
35,apartment,residential,,1,2,33.75,16.05.2017,ownerName55
36-H,unknown,comercial,,1,1,113.1,20.05.2016,ownerName339
36,apartment,residential,,1,1,70.4,05.05.2017,ownerName57
37,apartment,residential,,1,1,64.5,10.04.2017,ownerName58
38-H,mezzanine,comercial,,1,1,44.8,20.02.2017,ownerName175
38,apartment,residential,,1,1,44.9,26.04.2016,ownerName60
39-H,mezzanine,comercial,,1,1,9.6,20.02.2017,ownerName230
39,apartment,residential,,1,5,13.48,05.05.2016,ownerName62
39,apartment,residential,,2,5,26.96,16.05.2017,ownerName63
39,apartment,residential,,1,5,13.48,05.05.2016,ownerName64
39,apartment,residential,,1,5,13.48,16.05.2017,ownerName65
40,unknown,unknown,,,,,,unknown
41,apartment,residential,,1,1,64.5,24.01.2017,ownerName67
42,apartment,residential,,1,1,44.7,06.06.2016,ownerName68
43,apartment,residential,,1,1,67.2,09.10.2017,ownerName69
44,apartment,residential,,1,1,70.5,17.06.2016,ownerName70
45,apartment,residential,,1,1,64.6,10.11.2016,ownerName71
46,apartment,residential,,1,1,44.8,09.06.2016,ownerName72
47,apartment,residential,,1,1,67.2,10.05.2016,ownerName73
48,apartment,residential,,1,1,70.5,21.11.2016,ownerName74
49,apartment,residential,,1,1,64.5,13.05.2016,ownerName75
50,apartment,residential,,1,1,44.8,11.04.2016,ownerName76
51,apartment,residential,,1,1,67.4,23.08.2016,ownerName77
52,apartment,residential,,1,1,70.3,06.12.2016,ownerName78
53,apartment,residential,,1,1,64.6,10.05.2016,ownerName79
54,unknown,unknown,,,,,,unknown
55,apartment,residential,,1,1,67.1,10.06.2016,ownerName81
56,apartment,residential,,1,1,70.3,03.06.2016,ownerName82
57,apartment,residential,,1,1,64.7,10.05.2016,ownerName83
58,apartment,residential,,1,1,44.7,29.06.2016,ownerName84
